number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,state
0,37.74202425046798,2026-06-23 10:55:16.862195,2026-06-23 10:55:17.242710,0 days 00:00:00.380515,0.8229808640358496,0.9956212555582816,1.043293023222173e-06,2.3220539259981976,0.0011872950317291294,5,17,252,COMPLETE
1,35.91778299376304,2026-06-23 10:55:17.243016,2026-06-23 10:55:19.820431,0 days 00:00:02.577415,0.8809018585577842,0.9551927709152633,4.248207258091424e-07,3.8229948517424385e-07,0.0017485018727447675,11,5,243,COMPLETE
2,23.183768797669508,2026-06-23 10:55:19.820615,2026-06-23 10:55:19.983123,0 days 00:00:00.162508,0.7457128086369488,0.7181630221168879,0.0006441263697033019,2.2917687152154864e-08,0.008881607941711143,3,55,16,COMPLETE
3,29.29927859064804,2026-06-23 10:55:19.983235,2026-06-23 10:55:20.380945,0 days 00:00:00.397710,0.9964728008267079,0.859176422438214,2.5036179569167735e-05,6.273746065729507e-06,0.004439258647953381,5,16,79,COMPLETE
4,16.242203316090457,2026-06-23 10:55:20.381053,2026-06-23 10:55:21.102876,0 days 00:00:00.721823,0.8271788211785146,0.7192486260299379,5.158731366659948e-07,3.56134822187302e-07,0.018446320138255354,12,53,60,COMPLETE
5,32.37783147375428,2026-06-23 10:55:21.102988,2026-06-23 10:55:22.112602,0 days 00:00:01.009614,0.9196722899769202,0.7702447520444021,1.1386407885676157,0.12242474016487273,0.003085890767051785,7,7,133,COMPLETE
6,15.447430891636463,2026-06-23 10:55:22.112713,2026-06-23 10:55:22.897544,0 days 00:00:00.784831,0.6602751490854767,0.9585838794489512,0.10093178781533363,0.0005531701500779321,0.030204230387182854,9,65,66,COMPLETE
7,22.417735993730414,2026-06-23 10:55:22.897657,2026-06-23 10:55:24.351270,0 days 00:00:01.453613,0.8619864440821813,0.8491863407629278,3.650634893608293e-08,4.089629321117087e-06,0.008481731968031772,11,70,183,COMPLETE
8,25.60648972752434,2026-06-23 10:55:24.351384,2026-06-23 10:55:25.217107,0 days 00:00:00.865723,0.6619730612943518,0.8604856614835912,1.568682365226237e-05,2.851784893155064e-08,0.006323415089189994,9,93,150,COMPLETE
9,15.82468892971773,2026-06-23 10:55:25.217216,2026-06-23 10:55:26.784757,0 days 00:00:01.567541,0.8801396883197923,0.9020049605565559,0.028147288713561876,0.0003529854834828628,0.09844332201988608,11,10,147,COMPLETE
10,15.27516285850988,2026-06-23 10:55:26.784869,2026-06-23 10:55:27.377856,0 days 00:00:00.592987,0.6049717991251002,0.6300249528347341,4.343647207401547,0.002470230306756859,0.04296670574316986,8,86,75,COMPLETE
11,15.211652933634019,2026-06-23 10:55:27.377977,2026-06-23 10:55:27.935829,0 days 00:00:00.557852,0.604344768210297,0.616807384202904,9.365345095577348,0.002025206905329492,0.04378143846422802,8,89,78,COMPLETE
12,15.442451059723947,2026-06-23 10:55:27.935942,2026-06-23 10:55:28.453686,0 days 00:00:00.517744,0.6016954252341945,0.6025469163582202,7.31085426835498,0.012830399055350628,0.08185880840546998,8,94,96,COMPLETE
13,15.208459674761004,2026-06-23 10:55:28.453794,2026-06-23 10:55:28.951550,0 days 00:00:00.497756,0.7318971730847152,0.6123473884896954,0.008225810616061157,0.013833510270816364,0.04561369327105134,7,82,46,COMPLETE
14,15.705446176190959,2026-06-23 10:55:28.951656,2026-06-23 10:55:29.271501,0 days 00:00:00.319845,0.7323181208553057,0.6584776408822579,0.004716846953368576,0.10075562804694395,0.19180513581291483,6,78,24,COMPLETE
15,15.096953873130962,2026-06-23 10:55:29.271612,2026-06-23 10:55:29.828569,0 days 00:00:00.556957,0.7446254893106503,0.6825875356572104,0.19028358365034803,5.3167322165867335,0.04361691746467248,6,34,111,COMPLETE
16,16.75038146181447,2026-06-23 10:55:29.828712,2026-06-23 10:55:30.001717,0 days 00:00:00.173005,0.7495590288108576,0.6858415048947016,0.2354594891182024,7.180460074253156,0.01892857487718708,3,34,117,COMPLETE
17,15.251924587907723,2026-06-23 10:55:30.001834,2026-06-23 10:55:30.368874,0 days 00:00:00.367040,0.6923309422406563,0.7766562949105003,0.004215756029146114,0.08477405647508118,0.09631494803059529,5,37,186,COMPLETE
18,15.189152066969932,2026-06-23 10:55:30.369012,2026-06-23 10:55:30.824817,0 days 00:00:00.455805,0.7862147400978041,0.6943316964799496,0.0001446562006646556,0.946873224877508,0.05795202377324551,6,36,43,COMPLETE
19,15.221967239541575,2026-06-23 10:55:30.824932,2026-06-23 10:55:31.051581,0 days 00:00:00.226649,0.7844820729646301,0.7250216960693471,9.252531994629396e-05,2.0008386489132497,0.1299006564263164,4,34,180,COMPLETE
20,15.181935347825092,2026-06-23 10:55:31.051704,2026-06-23 10:55:31.569086,0 days 00:00:00.517382,0.7863008301579986,0.6792199093532244,0.0001653532192710317,0.7346762451973013,0.02811727511813986,6,45,110,COMPLETE
21,15.247633963833119,2026-06-23 10:55:31.569191,2026-06-23 10:55:32.096836,0 days 00:00:00.527645,0.7877283029774647,0.6747241641732808,0.00039360228501030345,0.8837253170211747,0.02567735169457236,6,43,107,COMPLETE
22,15.232707567568054,2026-06-23 10:55:32.096943,2026-06-23 10:55:32.568730,0 days 00:00:00.471787,0.7764370118790581,0.7491774339712156,7.571635508814482e-06,9.809528607005689,0.06603059316576979,6,22,102,COMPLETE
23,19.415542019935746,2026-06-23 10:55:32.568837,2026-06-23 10:55:32.806645,0 days 00:00:00.237808,0.6966326952538042,0.6561879560956636,0.0010170827518827116,0.6813142665514095,0.011907368719669789,4,45,38,COMPLETE
24,15.166411195154629,2026-06-23 10:55:32.806752,2026-06-23 10:55:33.383563,0 days 00:00:00.576811,0.8318488575506399,0.6817750795709121,9.655473636626373e-05,0.33532739052786315,0.02744398362141573,6,26,126,COMPLETE
25,15.353453036641463,2026-06-23 10:55:33.383672,2026-06-23 10:55:34.352084,0 days 00:00:00.968412,0.8357077840922773,0.8039508804877544,3.531368067352483e-06,0.2447649643459932,0.0258983226960877,7,25,125,COMPLETE
26,17.102450776410187,2026-06-23 10:55:34.352214,2026-06-23 10:55:34.601350,0 days 00:00:00.249136,0.9137861090332107,0.6436609025402239,5.165677938061849e-05,0.01421711088822721,0.01581908054344807,4,27,157,COMPLETE
27,15.450777284259496,2026-06-23 10:55:34.601468,2026-06-23 10:55:35.860599,0 days 00:00:01.259131,0.8155183779892281,0.6950317911679441,0.002025274860238788,0.026057014865023913,0.03194858262950849,9,47,208,COMPLETE
28,18.99307064654688,2026-06-23 10:55:35.860750,2026-06-23 10:55:36.244153,0 days 00:00:00.383403,0.8534230210398998,0.81178048369493,0.022677823109541497,2.0415213586709856e-05,0.012147860749977842,5,61,92,COMPLETE
29,15.707439543792924,2026-06-23 10:55:36.244263,2026-06-23 10:55:36.817492,0 days 00:00:00.573229,0.938296970477339,0.7411840427654488,6.03510382193371e-08,2.9449370759478706,0.02030538264218864,6,15,115,COMPLETE
