number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_seq_len,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,15.230050356377925,2026-06-08 10:54:21.980247,2026-06-08 10:57:30.307999,0 days 00:03:08.327752,128,0.31190840594380953,256,0.00019725578464509585,1,48,11.703715109104806,12.41274376581302,COMPLETE
1,16.278911934624833,2026-06-08 10:57:30.310830,2026-06-08 10:57:57.095972,0 days 00:00:26.785142,128,0.44067095538521533,256,0.0029894885643255912,1,25,16.278911934624833,,PRUNED
2,14.999404149758613,2026-06-08 10:57:57.097958,2026-06-08 10:58:26.811626,0 days 00:00:29.713668,128,0.4798478010900624,64,0.0006867777888110115,3,41,14.999404149758613,,PRUNED
3,18.16870202796175,2026-06-08 10:58:26.812637,2026-06-08 10:58:57.450292,0 days 00:00:30.637655,32,0.4064493205013793,32,0.008932526554264048,4,25,18.16870202796175,,PRUNED
4,18.442536392044392,2026-06-08 10:58:57.451183,2026-06-08 10:59:13.667691,0 days 00:00:16.216508,128,0.1754335387533327,32,0.0040623868448845125,4,26,18.442536392044392,,PRUNED
5,15.508284288676574,2026-06-08 10:59:13.668182,2026-06-08 10:59:34.063368,0 days 00:00:20.395186,64,0.4465172776991714,64,0.00019357500675413396,2,32,15.508284288676574,,PRUNED
6,17.608430240950295,2026-06-08 10:59:34.066075,2026-06-08 11:00:04.993558,0 days 00:00:30.927483,64,0.30409624397229873,32,0.0014652873838692654,4,44,17.608430240950295,,PRUNED
7,14.406107844565492,2026-06-08 11:00:04.994352,2026-06-08 11:02:56.763385,0 days 00:02:51.769033,32,0.18675749010671466,256,0.00030306003826879754,1,48,12.489676169411684,14.406107844565492,PRUNED
8,15.69615286853511,2026-06-08 11:02:56.767285,2026-06-08 11:03:21.305518,0 days 00:00:24.538233,64,0.43649080614438335,32,0.0016731382390747312,3,44,15.69615286853511,,PRUNED
9,20.127807535824562,2026-06-08 11:03:21.306307,2026-06-08 11:07:08.221584,0 days 00:03:46.915277,128,0.3369872642066366,64,0.005218551461471991,4,49,17.91722563765862,,COMPLETE
10,49.67765526503714,2026-06-08 11:07:08.223091,2026-06-08 11:07:42.524740,0 days 00:00:34.301649,128,0.11342922616109016,128,0.00010143089688742588,2,36,49.67765526503714,,PRUNED
11,16.183725302394436,2026-06-08 11:07:42.525619,2026-06-08 11:12:50.670307,0 days 00:05:08.144688,128,0.326199379928626,256,0.0005477072380670009,2,50,14.64533064927215,16.183725302394436,PRUNED
12,18.847702364268024,2026-06-08 11:12:50.672630,2026-06-08 11:14:08.609683,0 days 00:01:17.937053,128,0.3587244134193295,64,0.0074372428155616895,3,38,18.847702364268024,,PRUNED
13,12.679992451593982,2026-06-08 11:14:08.610660,2026-06-08 11:15:05.756043,0 days 00:00:57.145383,128,0.25308445451942,128,0.000345331521792782,1,47,11.995091310216075,12.679992451593982,PRUNED
14,36.50403882527869,2026-06-08 11:15:05.756986,2026-06-08 11:15:49.919668,0 days 00:00:44.162682,128,0.27113050512434056,64,0.00010386031347686289,2,31,36.50403882527869,,PRUNED
15,16.402274480819585,2026-06-08 11:15:49.920643,2026-06-08 11:19:22.886054,0 days 00:03:32.965411,32,0.3632620676804933,256,0.0031588153392229723,3,43,16.402274480819585,,PRUNED
16,14.905429960755558,2026-06-08 11:19:22.888693,2026-06-08 11:19:29.856415,0 days 00:00:06.967722,128,0.2328681518050728,64,0.0011056018753248433,1,20,14.905429960755558,,PRUNED
17,18.218465749249997,2026-06-08 11:19:29.858694,2026-06-08 11:28:55.582386,0 days 00:09:25.723692,128,0.3559942668856558,256,0.005103553665406756,4,50,18.218465749249997,,PRUNED
