epoch,train_loss,val_rmse,lr
1,6155.2725,63.2292,0.00015256553598616673
2,2012.8269,20.9827,0.00015256553598616673
3,298.4258,12.3045,0.00015256553598616673
4,197.8519,12.2208,0.00015256553598616673
5,169.976,12.1064,0.00015256553598616673
6,150.4676,11.9485,0.00015256553598616673
7,136.4074,13.5568,0.00015256553598616673
8,118.2151,14.0665,0.00015256553598616673
9,112.3018,13.6637,0.00015256553598616673
10,101.1689,14.6688,0.00015256553598616673
11,97.0871,13.4215,0.00015256553598616673
12,89.3331,13.5242,0.00015256553598616673
13,79.1494,14.8321,7.628276799308337e-05
14,78.45,14.8779,7.628276799308337e-05
15,74.3002,14.7942,7.628276799308337e-05
16,73.3338,15.2354,7.628276799308337e-05
