number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,15.660502229315219,2026-06-02 14:09:47.493374,2026-06-02 14:09:51.622768,0 days 00:00:04.129394,0.9066479402107352,0.5930744491761825,0.013332614094944028,10,9,600,7.1618555151855964e-06,1.5064872453328737,0.7539922678175518,COMPLETE
1,15.218483419708456,2026-06-02 14:09:51.622997,2026-06-02 14:09:52.904695,0 days 00:00:01.281698,0.9913099136373877,2.7574204179764052,0.05157682837020358,3,4,967,4.0498329081030734e-05,0.00015304339477657501,0.6330575112679557,COMPLETE
2,15.670135225955471,2026-06-02 14:09:52.904813,2026-06-02 14:09:54.397691,0 days 00:00:01.492878,0.9503563636255117,4.182588519087939,0.04158437914821347,9,10,260,0.07461338152014617,3.659318721534767,0.7938348324095186,COMPLETE
3,16.239814367311848,2026-06-02 14:09:54.397857,2026-06-02 14:09:56.832231,0 days 00:00:02.434374,0.7544098655459273,0.4251415493768862,0.13382555023532858,8,9,873,0.00018091591162530123,0.009218988533321875,0.9939604967716935,COMPLETE
4,15.912248470674683,2026-06-02 14:09:56.832486,2026-06-02 14:09:58.065397,0 days 00:00:01.232911,0.9412625352401041,3.3824770454337942,0.08253280958191173,6,8,487,2.774344750688228e-08,9.197555765619279e-07,0.9908356749466924,COMPLETE
5,15.773164219675547,2026-06-02 14:09:58.065553,2026-06-02 14:10:01.011341,0 days 00:00:02.945788,0.5348829046957747,1.0191984156167488,0.08184328931274473,10,5,725,1.625174404186672e-06,4.375122427296665e-05,0.7578505581472877,COMPLETE
6,16.517954265781107,2026-06-02 14:10:01.011526,2026-06-02 14:10:03.031319,0 days 00:00:02.019793,0.5397094808380342,0.6319840245968755,0.17649245909398031,10,5,595,0.0008757513075685106,0.003978523668499233,0.5507884638278686,COMPLETE
7,15.022806552990085,2026-06-02 14:10:03.031466,2026-06-02 14:10:03.735431,0 days 00:00:00.703965,0.817445888350962,2.6618636348931144,0.039026261477216474,4,8,433,2.83370970486315e-05,0.02613073861446508,0.8984329438810741,COMPLETE
8,17.487395281222906,2026-06-02 14:10:03.735543,2026-06-02 14:10:05.734614,0 days 00:00:01.999071,0.6406149286667777,4.07987850151192,0.24765179808087462,7,1,943,4.0642254243079784e-08,0.04638723499614457,0.5247332946947283,COMPLETE
9,16.119718675652365,2026-06-02 14:10:05.734724,2026-06-02 14:10:06.551213,0 days 00:00:00.816489,0.7970654787412369,4.0390598268460645,0.14277876463951908,4,10,505,6.241794726882363e-06,0.00032184220074375086,0.6051670401715463,COMPLETE
